uk 2XS Radio,uk_2XS_Radio,Commercial2,0,https://www.radio-uk.co.uk/2xs-rocks,,0
uk 2XS Radio,uk_2XS_Radio,Commercial2,0,https://www.radio-uk.co.uk/2xs-radio,,0
uk 3 Style Radio,uk_3_Style_Radio,Commercial2,0,https://www.radio-uk.co.uk/3-style-radio,,0
uk 365 POP,uk_365_POP,Commercial2,0,https://www.radio-uk.co.uk/365-pop,,0
uk 365 Radio,uk_365_Radio,Commercial2,0,https://www.radio-uk.co.uk/365-radio,,0
uk 3AFM - English FM,uk_3AFM_-_English_FM,Commercial2,0,https://www.radio-uk.co.uk/3afm-english-fm,,0
uk 3Bs Radio,uk_3Bs_Radio,Commercial2,0,https://www.radio-uk.co.uk/3bs-radio,,0
uk 3FM,uk_3FM,Commercial2,0,https://www.radio-uk.co.uk/3fm,,0
uk 3N Radio,uk_3N_Radio,Commercial2,0,https://www.radio-uk.co.uk/star-radio-uk,,0
uk 3TFM Community Radio for Health,uk_3TFM_Community_Radio_for_Health,Commercial2,0,https://www.radio-uk.co.uk/3tfm,,0
uk 4 The Music,uk_4_The_Music,Commercial2,0,https://www.radio-uk.co.uk/4-the-music,,0
uk 45 Radio,uk_45_Radio,Commercial2,0,https://www.radio-uk.co.uk/45-radio,,0
uk 45 Radio UK,uk_45_Radio_UK,Commercial2,0,https://www.radio-uk.co.uk/45-radio-uk,,0
uk 4Legs Radio,uk_4Legs_Radio,Commercial2,0,https://www.radio-uk.co.uk/4legs-radio,,0
uk 4Tune FM,uk_4Tune_FM,Commercial2,0,https://www.radio-uk.co.uk/4tune-fm,,0
uk 4Tune FM,uk_4Tune_FM,Commercial2,0,https://www.radio-uk.co.uk/4tune-fm,,0
uk 4WARDRADIO.COM,uk_4WARDRADIO.COM,Commercial2,0,https://www.radio-uk.co.uk/4wardradio,,0
uk 60 NORTH,uk_60_NORTH,Commercial2,0,https://www.radio-uk.co.uk/60-north,,0
uk 6TR - 6 Towns Radio,uk_6TR_-_6_Towns_Radio,Commercial2,0,https://www.radio-uk.co.uk/6tr-6-towns-radio,,0
uk 70s 80s All Time Greatest,uk_70s_80s_All_Time_Greatest,Commercial2,0,https://www.radio-uk.co.uk/70s-80s-all-time-greatest,,0
uk 70s Style,uk_70s_Style,Commercial2,0,https://www.radio-uk.co.uk/70s-style,,0
uk 80's Classics,uk_80's_Classics,Commercial2,0,https://www.radio-uk.co.uk/80s-classics,,0
uk 80s Eagle,uk_80s_Eagle,Commercial2,0,https://www.radio-uk.co.uk/80s-eagle,,0
uk 80s FM UK,uk_80s_FM_UK,Commercial2,0,https://www.radio-uk.co.uk/80s-legends,,0
uk 80s Heaven,uk_80s_Heaven,Commercial2,0,https://www.radio-uk.co.uk/80s-heaven,,0
uk 80s Mixtape,uk_80s_Mixtape,Commercial2,0,https://www.radio-uk.co.uk/80s-mixtape,,0
uk 80s Radio,uk_80s_Radio,Commercial2,0,https://www.radio-uk.co.uk/80s-radio,,0
uk 80s Rhythm,uk_80s_Rhythm,Commercial2,0,https://www.radio-uk.co.uk/80s-rhythm,,0
uk 80s Zoom,uk_80s_Zoom,Commercial2,0,https://www.radio-uk.co.uk/80s-radio-zoom,,0
uk 87 Media,uk_87_Media,Commercial2,0,https://www.radio-uk.co.uk/87-media,,0
uk 883 Centreforce radio,uk_883_Centreforce_radio,Commercial2,0,https://www.radio-uk.co.uk/883-centreforce-radio,,0
uk 90s Beat,uk_90s_Beat,Commercial2,0,https://www.radio-uk.co.uk/90s-beat,,0
uk 95.6 BRFM,uk_95.6_BRFM,Commercial2,0,https://www.radio-uk.co.uk/956-brfm,,0
uk 97.3 Apple FM,uk_97.3_Apple_FM,Commercial2,0,https://www.radio-uk.co.uk/973-apple-fm,,0
uk 97.3 BGfm,uk_97.3_BGfm,Commercial2,0,https://www.radio-uk.co.uk/973-bgfm,,0
uk 97.5 Kemet FM,uk_97.5_Kemet_FM,Commercial2,0,https://www.radio-uk.co.uk/975-kemet-fm,,0
uk 975 Kemet FM,uk_975_Kemet_FM,Commercial2,0,https://www.radio-uk.co.uk/975-kemet-fm2,,0
